2025/09/21 16:00更新,#genre#
内蒙古卫视,http://183.220.107.138:4022/rtp/239.11.0.33:5140
宁夏卫视,http://183.220.107.138:4022/rtp/239.11.0.57:5140
青海卫视,http://183.220.107.138:4022/rtp/239.11.0.56:5140
西藏卫视,http://183.220.107.138:4022/rtp/239.11.0.53:5140
新疆卫视,http://183.220.107.138:4022/rtp/239.11.0.58:5140
兵团卫视,http://183.220.107.138:4022/rtp/239.11.0.204:5140
睛彩篮球,http://183.220.107.138:4022/rtp/239.11.0.122:5140
睛彩青少,http://183.220.107.138:4022/rtp/239.10.0.130:5140
睛彩广场舞,http://183.220.107.138:4022/rtp/239.10.0.131:5140
咪咕体育直播1,http://183.220.107.138:4022/rtp/239.10.0.232:5140
咪咕体育直播2,http://183.220.107.138:4022/rtp/239.10.0.233:5140
咪咕体育直播3,http://183.220.107.138:4022/rtp/239.10.0.234:5140
咪咕体育直播4,http://183.220.107.138:4022/rtp/239.10.0.235:5140
咪咕体育直播5,http://183.220.107.138:4022/rtp/239.10.0.236:5140
华数爱上4K,http://183.220.107.138:4022/rtp/239.11.0.120:5140
华数光影,http://183.220.107.138:4022/rtp/239.10.0.153:5140
华数星影,http://183.220.107.138:4022/rtp/239.10.0.156:5140
华数家庭影院,http://183.220.107.138:4022/rtp/239.10.0.127:5140
华数喜剧影院,http://183.220.107.138:4022/rtp/239.10.0.132:5140
华数经典电影,http://183.220.107.138:4022/rtp/239.10.0.122:5140
华数热播剧场,http://183.220.107.138:4022/rtp/239.10.0.121:5140
华数谍战剧场,http://183.220.107.138:4022/rtp/239.10.0.123:5140
华数城市剧场,http://183.220.107.138:4022/rtp/239.10.0.124:5140
华数军旅剧场,http://183.220.107.138:4022/rtp/239.10.0.125:5140
华数古装剧场,http://183.220.107.138:4022/rtp/239.10.0.126:5140
华数武侠剧场,http://183.220.107.138:4022/rtp/239.10.0.133:5140
华数动画,http://183.220.107.138:4022/rtp/239.10.0.163:5140
金鹰纪实,http://183.220.107.138:4022/rtp/239.10.0.193:5140
中国交通,http://183.220.107.138:4022/rtp/239.10.0.143:5140
求索纪录,http://183.220.107.138:4022/rtp/239.10.0.221:5140
CETV1,http://183.220.107.138:4022/rtp/239.11.0.139:5140
CETV2,http://183.220.107.138:4022/rtp/239.11.0.246:5140
CGTN英语,http://183.220.107.138:4022/rtp/239.11.0.245:5140
CGTN纪录,http://183.220.107.138:4022/rtp/239.11.0.138:5140
金鹰卡通,http://183.220.107.138:4022/rtp/239.11.0.127:5140
卡酷少儿,http://183.220.107.138:4022/rtp/239.11.0.129:5140
优漫卡通,http://183.220.107.138:4022/rtp/239.11.0.63:5140
嘉佳卡通,http://183.220.107.138:4022/rtp/239.11.0.203:5140
新动漫,http://183.220.107.138:4022/rtp/239.10.0.159:5140
山东教育卫视,http://183.220.107.138:4022/rtp/239.11.0.140:5140
稻城电视台,http://183.220.107.138:4022/rtp/239.10.0.29:5140
CDTV8购物,http://183.220.107.138:4022/rtp/239.10.0.33:5140
IPTV国学,http://183.220.107.138:4022/rtp/239.10.0.186:5140
IPTV地理,http://183.220.107.138:4022/rtp/239.10.0.190:5140
IPTV戏曲,http://183.220.107.138:4022/rtp/239.10.0.150:5140
IPTV高网,http://183.220.107.138:4022/rtp/239.10.0.164:5140

广东移动-组播1,#genre#
广东卫视,http://113.106.171.234:8899/rtp/239.20.0.101:2000#http://113.106.171.234:8899/rtp/239.20.0.99:3004
广东经济科教,http://113.106.171.234:8899/rtp/239.20.0.102:2002#http://113.106.171.234:8899/rtp/239.20.0.98:3008
广东体育频道,http://113.106.171.234:8899/rtp/239.20.0.103:2004#http://113.106.171.234:8899/rtp/239.20.0.97:3012
广东珠江频道,http://113.106.171.234:8899/rtp/239.20.0.64:3144
广东大湾区卫视,http://113.106.171.234:8899/rtp/239.21.0.84:3676
广东影视频道,http://113.106.171.234:8899/rtp/239.21.0.85:3680
广东民生频道,http://113.106.171.234:8899/rtp/239.21.0.86:3684
广东新闻频道,http://113.106.171.234:8899/rtp/239.21.0.93:3712
广东嘉佳卡通,http://113.106.171.234:8899/rtp/239.21.0.94:3716
广东4K超高清,http://113.106.171.234:8899/rtp/239.20.0.60:3160
岭南戏曲,http://113.106.171.234:8899/rtp/239.20.0.115:2028
现代教育,http://113.106.171.234:8899/rtp/239.20.0.128:2054
南方购物,http://113.106.171.234:8899/rtp/239.20.0.116:2030
河源生活频道,http://113.106.171.234:8899/rtp/239.21.0.49:3536
汕尾新闻综合,http://113.106.171.234:8899/rtp/239.21.0.89:3696
汕尾文化生活,http://113.106.171.234:8899/rtp/239.21.0.90:3700
揭阳综合频道,http://113.106.171.234:8899/rtp/239.21.0.91:3704
揭阳生活频道,http://113.106.171.234:8899/rtp/239.21.0.92:3708
CCTV-2财经,http://113.106.171.234:8899/rtp/239.20.0.197:2192
CCTV-3综艺,http://113.106.171.234:8899/rtp/239.20.0.28:3292
CCTV-4中文国际,http://113.106.171.234:8899/rtp/239.20.0.16:3340
CCTV-5体育,http://113.106.171.234:8899/rtp/239.20.0.30:3284
CCTV-5+体育赛事,http://113.106.171.234:8899/rtp/239.20.0.203:2204
CCTV-6电影,http://113.106.171.234:8899/rtp/239.20.0.29:3288
CCTV-7国防军事,http://113.106.171.234:8899/rtp/239.20.0.198:2194
CCTV-8电视剧,http://113.106.171.234:8899/rtp/239.20.0.31:3280
CCTV-9纪录,http://113.106.171.234:8899/rtp/239.20.0.199:2196
CCTV-10科教,http://113.106.171.234:8899/rtp/239.20.0.200:2198
CCTV-13新闻,http://113.106.171.234:8899/rtp/239.21.0.88:3692
CCTV-14少儿,http://113.106.171.234:8899/rtp/239.20.0.202:2202
CCTV-15音乐,http://113.106.171.234:8899/rtp/239.21.0.36:3484
CCTV-17农业农村,http://113.106.171.234:8899/rtp/239.20.0.7:3376
CCTV风云足球,http://113.106.171.234:8899/rtp/239.21.0.70:3620
CCTV央视台球,http://113.106.171.234:8899/rtp/239.21.0.71:3624
CCTV世界地理,http://113.106.171.234:8899/rtp/239.21.0.74:3636
CCTV怀旧剧场,http://113.106.171.234:8899/rtp/239.21.0.75:3640
CCTV风云剧场,http://113.106.171.234:8899/rtp/239.21.0.76:3644
CCTV央视文化精品,http://113.106.171.234:8899/rtp/239.21.0.77:3648
CCTV第一剧场,http://113.106.171.234:8899/rtp/239.21.0.78:3652
CCTV兵器科技,http://113.106.171.234:8899/rtp/239.21.0.80:3660
CCTV电视指南,http://113.106.171.234:8899/rtp/239.21.0.81:3664
浙江卫视,http://113.106.171.234:8899/rtp/239.20.0.169:2136
安徽卫视,http://113.106.171.234:8899/rtp/239.20.0.193:2184
北京卫视,http://113.106.171.234:8899/rtp/239.20.0.121:2040
山东卫视,http://113.106.171.234:8899/rtp/239.20.0.172:2142
重庆卫视,http://113.106.171.234:8899/rtp/239.20.0.195:2188
东方卫视,http://113.106.171.234:8899/rtp/239.20.0.173:2144
深圳卫视,http://113.106.171.234:8899/rtp/239.20.0.122:2042#http://113.106.171.234:8899/rtp/239.20.0.92:3032
四川卫视,http://113.106.171.234:8899/rtp/239.20.0.194:2186
天津卫视,http://113.106.171.234:8899/rtp/239.20.0.171:2140#http://113.106.171.234:8899/rtp/239.20.0.89:3044
广西卫视,http://113.106.171.234:8899/rtp/239.20.0.15:3344
贵州卫视,http://113.106.171.234:8899/rtp/239.20.0.212:2222
河北卫视,http://113.106.171.234:8899/rtp/239.20.0.56:3176
湖北卫视,http://113.106.171.234:8899/rtp/239.20.0.124:2046
湖南卫视,http://113.106.171.234:8899/rtp/239.20.0.105:2008
吉林卫视,http://113.106.171.234:8899/rtp/239.20.0.54:3184
江苏卫视,http://113.106.171.234:8899/rtp/239.20.0.170:2138
江西卫视,http://113.106.171.234:8899/rtp/239.20.0.55:3180
辽宁卫视,http://113.106.171.234:8899/rtp/239.20.0.175:2148
内蒙古卫视,http://113.106.171.234:8899/rtp/239.20.0.153:2104
宁夏卫视,http://113.106.171.234:8899/rtp/239.20.0.156:2110
青海卫视,http://113.106.171.234:8899/rtp/239.20.0.154:2106
甘肃卫视,http://113.106.171.234:8899/rtp/239.20.0.159:2116
海南卫视,http://113.106.171.234:8899/rtp/239.20.0.155:2108
陕西卫视,http://113.106.171.234:8899/rtp/239.20.0.151:2100
西藏卫视,http://113.106.171.234:8899/rtp/239.20.0.157:2112
新疆卫视,http://113.106.171.234:8899/rtp/239.20.0.158:2114
云南卫视,http://113.106.171.234:8899/rtp/239.20.0.145:2088
三沙卫视,http://113.106.171.234:8899/rtp/239.20.0.52:3192
延边卫视,http://113.106.171.234:8899/rtp/239.20.0.51:3216
CETV1,http://113.106.171.234:8899/rtp/239.20.0.213:2224
CETV2,http://113.106.171.234:8899/rtp/239.21.0.46:3524
CETV4,http://113.106.171.234:8899/rtp/239.21.0.47:3528
GCTN,http://113.106.171.234:8899/rtp/239.20.0.186:2170
卡酷少儿,http://113.106.171.234:8899/rtp/239.20.0.162:2122
金鹰卡通,http://113.106.171.234:8899/rtp/239.20.0.163:2124
哈哈炫动,http://113.106.171.234:8899/rtp/239.20.0.164:2126
山东教育,http://113.106.171.234:8899/rtp/239.20.0.166:2130
咪咕4K,http://113.106.171.234:8899/rtp/239.20.0.66:3136
咪咕-赛事2,http://113.106.171.234:8899/rtp/239.20.0.44:3228
咪咕-赛事3,http://113.106.171.234:8899/rtp/239.20.0.43:3232
咪咕-赛事4,http://113.106.171.234:8899/rtp/239.20.0.14:3348
咪咕-赛事5,http://113.106.171.234:8899/rtp/239.20.0.13:3352
咪咕-赛事6,http://113.106.171.234:8899/rtp/239.20.0.12:3356
咪咕-赛事10,http://113.106.171.234:8899/rtp/239.21.0.10:3380
咪咕-赛事11,http://113.106.171.234:8899/rtp/239.21.0.11:3384
咪咕-赛事12,http://113.106.171.234:8899/rtp/239.21.0.12:3388
咪咕-赛事13,http://113.106.171.234:8899/rtp/239.21.0.13:3392
咪咕-赛事14,http://113.106.171.234:8899/rtp/239.21.0.14:3396
咪咕-赛事17,http://113.106.171.234:8899/rtp/239.21.0.17:3408
咪咕-赛事18,http://113.106.171.234:8899/rtp/239.21.0.18:3412
咪咕-赛事19,http://113.106.171.234:8899/rtp/239.21.0.19:3416
咪咕-赛事20,http://113.106.171.234:8899/rtp/239.21.0.20:3420
咪咕-赛事21,http://113.106.171.234:8899/rtp/239.21.0.21:3424
咪咕-赛事25,http://113.106.171.234:8899/rtp/239.21.0.29:3456
咪咕-赛事26,http://113.106.171.234:8899/rtp/239.21.0.30:3460
咪咕-赛事27,http://113.106.171.234:8899/rtp/239.21.0.31:3464
咪咕-赛事29,http://113.106.171.234:8899/rtp/239.21.0.33:3472
华数电影,http://113.106.171.234:8899/rtp/239.20.0.232:2262
华数经典电影,http://113.106.171.234:8899/rtp/239.20.0.233:2264
华数电视剧,http://113.106.171.234:8899/rtp/239.20.0.234:2266
华数少儿动画,http://113.106.171.234:8899/rtp/239.20.0.238:2274
华数魅力时尚,http://113.106.171.234:8899/rtp/239.20.0.239:2276
IPTV5+体育,http://113.106.171.234:8899/rtp/239.20.0.208:2214
IPTV相声小品,http://113.106.171.234:8899/rtp/239.20.0.229:2256
IPTV法治,http://113.106.171.234:8899/rtp/239.20.0.231:2260
IPTV收视指南,http://113.106.171.234:8899/rtp/239.20.0.240:2278
北京卫视4K超高清,http://113.106.171.234:8899/rtp/239.20.0.46:3220#http://113.106.171.234:8899/rtp/239.20.0.250:2298
CCTV-1综合,http://113.106.171.234:8899/rtp/239.20.0.96:3016
黑龙江卫视,http://113.106.171.234:8899/rtp/239.20.0.91:3036
山东卫视超清,http://113.106.171.234:8899/rtp/239.20.0.88:3048
湖南卫视超清,http://113.106.171.234:8899/rtp/239.20.0.95:3020
浙江卫视超清,http://113.106.171.234:8899/rtp/239.20.0.94:3024
江苏卫视超清,http://113.106.171.234:8899/rtp/239.20.0.93:3028
辽宁卫视超清,http://113.106.171.234:8899/rtp/239.20.0.86:3056
金鹰纪实超清,http://113.106.171.234:8899/rtp/239.20.0.85:3060
四川卫视超清,http://113.106.171.234:8899/rtp/239.20.0.82:3072

上海电信-组播3,#genre#
东方卫视,http://180.154.61.39:4022/rtp/239.45.3.146:5140
新闻综合,http://180.154.61.39:4022/rtp/239.45.3.209:5140
都市频道,http://180.154.61.39:4022/rtp/239.45.3.236:5140
东方影视,http://180.154.61.39:4022/rtp/239.45.3.237:5140
都市剧场,http://180.154.61.39:4022/rtp/239.45.3.136:5140
欢笑剧场,http://180.154.61.39:4022/rtp/239.45.3.196:5140
动漫秀场,http://180.154.61.39:4022/rtp/239.45.3.134:5140
哈哈炫动,http://180.154.61.39:4022/rtp/239.45.1.55:5140
法治天地,http://180.154.61.39:4022/rtp/239.45.1.46:5140
生活时尚,http://180.154.61.39:4022/rtp/239.45.3.132:5140
上海教育,http://180.154.61.39:4022/rtp/239.45.0.13:5140
东方财经,http://180.154.61.39:4022/rtp/239.45.0.17:5140
五星体育,http://180.154.61.39:4022/rtp/239.45.3.210:5140
第一财经,http://180.154.61.39:4022/rtp/239.45.3.211:5140
乐游纪实,http://180.154.61.39:4022/rtp/239.45.3.135:5140
CCTV-1综合,http://180.154.61.39:4022/rtp/239.45.3.145:5140
CCTV-2财经,http://180.154.61.39:4022/rtp/239.45.3.208:5140
CCTV-3综艺,http://180.154.61.39:4022/rtp/239.45.1.68:5140
CCTV-4中文国际,http://180.154.61.39:4022/rtp/239.45.0.2:5140
CCTV-5体育,http://180.154.61.39:4022/rtp/239.45.1.69:5140
CCTV-6电影,http://180.154.61.39:4022/rtp/239.45.1.70:5140
CCTV-7国防军事,http://180.154.61.39:4022/rtp/239.45.3.56:5140
CCTV-8电视剧,http://180.154.61.39:4022/rtp/239.45.1.71:5140
CCTV-9纪录,http://180.154.61.39:4022/rtp/239.45.3.4:5140
CCTV-10科教,http://180.154.61.39:4022/rtp/239.45.3.8:5140
CCTV-11戏曲,http://180.154.61.39:4022/rtp/239.45.1.196:5140
CCTV-12社会与法,http://180.154.61.39:4022/rtp/239.45.3.10:5140
CCTV-13新闻,http://180.154.61.39:4022/rtp/239.45.1.198:5140
CCTV-14少儿,http://180.154.61.39:4022/rtp/239.45.3.23:5140
CCTV-15音乐,http://180.154.61.39:4022/rtp/239.45.1.200:5140
CCTV-17农业农村,http://180.154.61.39:4022/rtp/239.45.3.52:5140
欢笑剧场4K,http://180.154.61.39:4022/rtp/239.45.1.4:5140
百事通电影4K,http://180.154.61.39:4022/rtp/239.45.1.42:5140#http://180.154.61.39:4022/rtp/239.45.3.107:5140
百事通少儿4K,http://180.154.61.39:4022/rtp/239.45.1.1:5140
百事通纪实4K,http://180.154.61.39:4022/rtp/239.45.1.10:5140
百事通体育,http://180.154.61.39:4022/rtp/239.45.3.139:5140
百事通科教,http://180.154.61.39:4022/rtp/239.45.1.29:5140
北京卫视,http://180.154.61.39:4022/rtp/239.45.3.229:5140
江苏卫视,http://180.154.61.39:4022/rtp/239.45.3.177:5140
浙江卫视,http://180.154.61.39:4022/rtp/239.45.3.178:5140
湖北卫视,http://180.154.61.39:4022/rtp/239.45.3.239:5140
湖南卫视,http://180.154.61.39:4022/rtp/239.45.3.228:5140
天津卫视,http://180.154.61.39:4022/rtp/239.45.1.124:5140
安徽卫视,http://180.154.61.39:4022/rtp/239.45.1.120:5140
山东卫视,http://180.154.61.39:4022/rtp/239.45.3.238:5140
广东卫视,http://180.154.61.39:4022/rtp/239.45.3.230:5140
东南卫视,http://180.154.61.39:4022/rtp/239.45.1.121:5140
广西卫视,http://180.154.61.39:4022/rtp/239.45.0.5:5140
江西卫视,http://180.154.61.39:4022/rtp/239.45.1.122:5140
河北卫视,http://180.154.61.39:4022/rtp/239.45.1.44:5140
河南卫视,http://180.154.61.39:4022/rtp/239.45.0.3:5140
海南卫视,http://180.154.61.39:4022/rtp/239.45.1.81:5140
深圳卫视,http://180.154.61.39:4022/rtp/239.45.3.231:5140
四川卫视,http://180.154.61.39:4022/rtp/239.45.1.83:5140
重庆卫视,http://180.154.61.39:4022/rtp/239.45.1.84:5140
云南卫视,http://180.154.61.39:4022/rtp/239.45.0.4:5140
贵州卫视,http://180.154.61.39:4022/rtp/239.45.1.80:5140
吉林卫视,http://180.154.61.39:4022/rtp/239.45.0.6:5140
辽宁卫视,http://180.154.61.39:4022/rtp/239.45.1.123:5140
黑龙江卫视,http://180.154.61.39:4022/rtp/239.45.3.232:5140
山西卫视,http://180.154.61.39:4022/rtp/239.45.1.229:5140
青海卫视,http://180.154.61.39:4022/rtp/239.45.1.230:5140
西藏卫视,http://180.154.61.39:4022/rtp/239.45.1.231:5140
宁夏卫视,http://180.154.61.39:4022/rtp/239.45.1.213:5140
陕西卫视,http://180.154.61.39:4022/rtp/239.45.1.232:5140
甘肃卫视,http://180.154.61.39:4022/rtp/239.45.1.234:5140
内蒙古卫视,http://180.154.61.39:4022/rtp/239.45.1.238:5140
新疆卫视,http://180.154.61.39:4022/rtp/239.45.1.116:5140
兵团卫视,http://180.154.61.39:4022/rtp/239.45.1.117:5140
三沙卫视,http://180.154.61.39:4022/rtp/239.45.1.82:5140
康巴卫视,http://180.154.61.39:4022/rtp/239.45.1.251:5140
金鹰卡通,http://180.154.61.39:4022/rtp/239.45.0.38:5140
金鹰纪实,http://180.154.61.39:4022/rtp/239.45.1.45:5140
北京卡酷少儿,http://180.154.61.39:4022/rtp/239.45.0.8:5140
北京纪实科教,http://180.154.61.39:4022/rtp/239.45.1.14:5140
CETV1,http://180.154.61.39:4022/rtp/239.45.1.125:5140
CETV2,http://180.154.61.39:4022/rtp/239.45.1.52:5140
CETV4,http://180.154.61.39:4022/rtp/239.45.1.50:5140
CGTN英语,http://180.154.61.39:4022/rtp/239.45.1.194:5140
嘉定频道,http://180.154.61.39:4022/rtp/239.45.3.185:5140
嘉佳卡通,http://180.154.61.39:4022/rtp/239.45.1.48:5140
东方购物-1HD,http://180.154.61.39:4022/rtp/239.45.3.74:5140
东方购物-2HD,http://180.154.61.39:4022/rtp/239.45.3.75:5140

上海电信-组播4,#genre#
东方卫视,http://180.165.1.151:4022/rtp/239.45.3.146:5140
新闻综合,http://180.165.1.151:4022/rtp/239.45.3.209:5140
生活时尚,http://180.165.1.151:4022/rtp/239.45.3.132:5140
上海教育,http://180.165.1.151:4022/rtp/239.45.0.13:5140
五星体育,http://180.165.1.151:4022/rtp/239.45.3.210:5140
第一财经,http://180.165.1.151:4022/rtp/239.45.3.211:5140
CCTV-1综合,http://180.165.1.151:4022/rtp/239.45.3.145:5140
CCTV-4中文国际,http://180.165.1.151:4022/rtp/239.45.0.2:5140
CCTV-5体育,http://180.165.1.151:4022/rtp/239.45.1.69:5140
CCTV-6电影,http://180.165.1.151:4022/rtp/239.45.1.70:5140
CCTV-7国防军事,http://180.165.1.151:4022/rtp/239.45.3.56:5140
CCTV-8电视剧,http://180.165.1.151:4022/rtp/239.45.1.71:5140
CCTV-14少儿,http://180.165.1.151:4022/rtp/239.45.3.23:5140
百事通电影4K,http://180.165.1.151:4022/rtp/239.45.1.42:5140
北京卫视,http://180.165.1.151:4022/rtp/239.45.3.229:5140
江苏卫视,http://180.165.1.151:4022/rtp/239.45.3.177:5140
广西卫视,http://180.165.1.151:4022/rtp/239.45.0.5:5140
河北卫视,http://180.165.1.151:4022/rtp/239.45.1.44:5140
贵州卫视,http://180.165.1.151:4022/rtp/239.45.1.80:5140
吉林卫视,http://180.165.1.151:4022/rtp/239.45.0.6:5140
宁夏卫视,http://180.165.1.151:4022/rtp/239.45.1.213:5140
陕西卫视,http://180.165.1.151:4022/rtp/239.45.1.232:5140
CETV1,http://180.165.1.151:4022/rtp/239.45.1.125:5140
CGTN英语,http://180.165.1.151:4022/rtp/239.45.1.194:5140

上海电信-组播5,#genre#
CCTV-2财经,http://180.165.12.90:4022/rtp/239.45.3.208:5140
CCTV-9纪录,http://180.165.12.90:4022/rtp/239.45.3.4:5140
CCTV-15音乐,http://180.165.12.90:4022/rtp/239.45.1.200:5140
天津卫视,http://180.165.12.90:4022/rtp/239.45.1.124:5140
江西卫视,http://180.165.12.90:4022/rtp/239.45.1.122:5140
四川卫视,http://180.165.12.90:4022/rtp/239.45.1.83:5140
吉林卫视,http://180.165.12.90:4022/rtp/239.45.0.6:5140
陕西卫视,http://180.165.12.90:4022/rtp/239.45.1.232:5140
康巴卫视,http://180.165.12.90:4022/rtp/239.45.1.251:5140
CETV2,http://180.165.12.90:4022/rtp/239.45.1.52:5140

上海电信-组播7,#genre#
东方卫视,http://180.165.2.27:9898/rtp/239.45.3.146:5140
新闻综合,http://180.165.2.27:9898/rtp/239.45.3.209:5140
都市频道,http://180.165.2.27:9898/rtp/239.45.3.236:5140
东方影视,http://180.165.2.27:9898/rtp/239.45.3.237:5140
都市剧场,http://180.165.2.27:9898/rtp/239.45.3.136:5140
欢笑剧场,http://180.165.2.27:9898/rtp/239.45.3.196:5140
动漫秀场,http://180.165.2.27:9898/rtp/239.45.3.134:5140
哈哈炫动,http://180.165.2.27:9898/rtp/239.45.1.55:5140
法治天地,http://180.165.2.27:9898/rtp/239.45.1.46:5140
游戏风云,http://180.165.2.27:9898/rtp/239.45.3.131:5140
生活时尚,http://180.165.2.27:9898/rtp/239.45.3.132:5140
上海教育,http://180.165.2.27:9898/rtp/239.45.0.13:5140
东方财经,http://180.165.2.27:9898/rtp/239.45.0.17:5140
五星体育,http://180.165.2.27:9898/rtp/239.45.3.210:5140
第一财经,http://180.165.2.27:9898/rtp/239.45.3.211:5140
乐游纪实,http://180.165.2.27:9898/rtp/239.45.3.135:5140
CCTV-1综合,http://180.165.2.27:9898/rtp/239.45.3.145:5140
CCTV-2财经,http://180.165.2.27:9898/rtp/239.45.3.208:5140
CCTV-3综艺,http://180.165.2.27:9898/rtp/239.45.1.68:5140
CCTV-4中文国际,http://180.165.2.27:9898/rtp/239.45.0.2:5140
CCTV-5体育,http://180.165.2.27:9898/rtp/239.45.1.69:5140
CCTV-6电影,http://180.165.2.27:9898/rtp/239.45.1.70:5140
CCTV-7国防军事,http://180.165.2.27:9898/rtp/239.45.3.56:5140
CCTV-8电视剧,http://180.165.2.27:9898/rtp/239.45.1.71:5140
CCTV-9纪录,http://180.165.2.27:9898/rtp/239.45.3.4:5140
CCTV-10科教,http://180.165.2.27:9898/rtp/239.45.3.8:5140
CCTV-11戏曲,http://180.165.2.27:9898/rtp/239.45.1.196:5140
CCTV-12社会与法,http://180.165.2.27:9898/rtp/239.45.3.10:5140
CCTV-13新闻,http://180.165.2.27:9898/rtp/239.45.1.198:5140
CCTV-14少儿,http://180.165.2.27:9898/rtp/239.45.3.23:5140
CCTV-15音乐,http://180.165.2.27:9898/rtp/239.45.1.200:5140
CCTV-17农业农村,http://180.165.2.27:9898/rtp/239.45.3.52:5140
欢笑剧场4K,http://180.165.2.27:9898/rtp/239.45.1.4:5140
百事通电影4K,http://180.165.2.27:9898/rtp/239.45.1.42:5140#http://180.165.2.27:9898/rtp/239.45.3.107:5140
百事通少儿4K,http://180.165.2.27:9898/rtp/239.45.1.1:5140
百事通纪实4K,http://180.165.2.27:9898/rtp/239.45.1.10:5140
百事通体育,http://180.165.2.27:9898/rtp/239.45.3.139:5140
百事通科教,http://180.165.2.27:9898/rtp/239.45.1.29:5140
北京卫视,http://180.165.2.27:9898/rtp/239.45.3.229:5140
浙江卫视,http://180.165.2.27:9898/rtp/239.45.3.178:5140
湖北卫视,http://180.165.2.27:9898/rtp/239.45.3.239:5140
湖南卫视,http://180.165.2.27:9898/rtp/239.45.3.228:5140
天津卫视,http://180.165.2.27:9898/rtp/239.45.1.124:5140
安徽卫视,http://180.165.2.27:9898/rtp/239.45.1.120:5140
山东卫视,http://180.165.2.27:9898/rtp/239.45.3.238:5140
广东卫视,http://180.165.2.27:9898/rtp/239.45.3.230:5140
东南卫视,http://180.165.2.27:9898/rtp/239.45.1.121:5140
