,#genre#
宁夏卫视,https://hls.ningxiahuangheyun.com/live/nxws1M.m3u8#http://8.138.7.223/tv/bjcckd.php?id=48$设置UA=k#http://202.100.46.58:9901/tsfile/live/1036_1.m3u8?key=txiptv&amp;playlive=1&amp;authid=0$LR•IPV4『线路123』#http://110.189.102.15:9901/tsfile/live/0120_1.m3u8?key=txiptv&amp;playlive=1&amp;authid=0$LR•IPV4『线路118』#http://110.189.102.15:9901/tsfile/live/0120_1.m3u8?key=txiptv&amp;playlive=1&amp;authid=0$LR•IPV4『线路528』#http://110.189.102.15:9901/tsfile/live/0120_1.m3u8?key=txiptv&amp;playlive=1&amp;authid=0$LR•IPV4『线路560』#http://110.189.102.15:9901/tsfile/live/0120_1.m3u8?key=txiptv&amp;playlive=1&amp;authid=0$LR•IPV4『线路570』#http://110.178.52.111:8083/udp/239.1.1.56:8056$LR•IPV4『线路574』#http://110.178.52.111:8083/udp/239.1.1.56:8056$LR•IPV4『线路568』#http://221.0.78.198:1681/hls/10251/index.m3u8#http://112.234.21.220:9901/tsfile/live/0112_1.m3u8#http://www.jeremyoto.com:82/udp/233.50.201.57:5140#http://bxny.667789.cn:88/hls/60/index.m3u8?url=tvzb.com#http://36.32.174.67:60080/newlive/live/hls/49/live.m3u8#http://114.252.227.154:8000/rtp/239.3.1.46:8124$LR•IPV4『线路581』#http://112.46.85.60:8009/hls/52/index.m3u8#http://117.32.84.221:8020/rtp/239.112.205.49:5140#http://origin.lean.org.cn:4000/udp/239.45.1.213:5140#https://stream1.freetv.fun/63dad6a604b26db1cefabe6841934350b6b8a6738afb06227e878afe88b596ed.m3u8#http://60.10.135.181:555/udp/239.253.92.32:8050#https://stream1.freetv.fun/21776b4116610b5cff3172a0d0197ecdd3c4563ca73dc64027a928f1ae2771e8.m3u8#http://110.53.52.63:8888/newlive/live/hls/39/live.m3u8#http://dassby.qqff.top:99/live/宁夏卫视/index.m3u8#http://120.192.226.35:8009/hls/52/index.m3u8#http://123.113.236.69:8012/rtp/239.3.1.46:8124#http://182.46.8.160:8018/hls/68/index.m3u8#http://1.24.190.98:10089/hls/93/index.m3u8#http://182.46.8.249:8018/hls/68/index.m3u8#http://221.210.64.165:2233/hls/49/index.m3u8#http://zjrtv.vip/live/?cqyx=ningxia#http://111.61.236.247:9081/hls/51/index.m3u8#http://60.223.224.176:8888/newlive/live/hls/39/live.m3u8#http://wan.wlzsyw.cn:885/hls/57/index.m3u8#http://61.138.54.155:2233/hls/49/index.m3u8#http://1639.hsmedia.top:8080/newlive/live/hls/41/live.m3u8#http://111.196.132.45:20000/udp/239.3.1.46:8124#http://110.189.102.15:9901/tsfile/live/0120_1.m3u8?key=txiptv&amp;playlive=1&amp;authid=0$LR•IPV4『线路87』#https://hls.ningxiahuangheyun.com/live/nxws1M.m3u8?$黄河云#http://tvh.990066.xyz:8880/stream/channelid/663195650?profile=pass#http://www.omnix.cn:4000/udp/225.1.8.159:8124#http://e3.woc.iiiya.cn:8888/udp/239.61.4.58:1025#http://www.cjtt.love:9307/rtp/239.253.250.53:8000#http://183.237.246.14:9931/tsfile/live/1088_1.m3u8?key=txiptv#http://mtkd.com.cn:10080/hls/93/index.m3u8#http://183.11.239.36:808/hls/106/index.m3u8#http://sjx_jyas.x3322.net:8011/tsfile/live/0112_1.m3u8?key=txiptv&amp;playlive=0&amp;authid=0
中央长江之声,https://ls.qingting.fm/live/5021868/64k.m3u8
中央电视塔南,http://gctxyc.liveplay.myqcloud.com/gc/ztn_1/index.m3u8#https://gcalic.v.myalicdn.com/gc/ztn_1/index.m3u8
中央一台,https://cctvwbcdbd.a.bdydns.com/cctvwbcd/cdrmcctv1_1/index.m3u8
中央海峡之声新闻,https://ls.qingting.fm/live/1744/64k.m3u8
中央一套,https://cctvwbcdtxy.liveplay.myqcloud.com/cctvwbcd/cdrmjzcctv1_1/index.m3u8?b=200-2100#https://cctvwbcdtxy.liveplay.myqcloud.com/cctvwbcd/cdrmjzcctv1_1/index.m3u8
启航2024中央广播电视总台跨年晚会,https://v10.dious.cc/20240101/jb33ogNp/index.m3u8
中央电视塔东,https://gcalic.v.myalicdn.com/gc/ztd_1/index.m3u8
中央社新闻,https://mediacorp-videosbclive.akamaized.net/f4abbc22204c49e2b337203b0ebbf14b/ap-southeast-1/6057994443001/playlist.m3u8
中央教育,http://dassby.qqff.top:99/live/中央教育高清/index.m3u8
CCTV-4 中文国际（美） Ⓢ,https://global.cgtn.cicc.media.caton.cloud/master/cgtn-america.m3u8
CCTV-5,https://ldcctvwbcdbd.a.bdydns.com/ldcctvwbcd/cdrmldcctv5_1/index.m3u8?BR=td#http://ak6668768.zicp.io:8804/live1005.m3u8#http://120.224.7.90:6721/hls/202/index.m3u8#http://221.0.78.198:1681/hls/10205/index.m3u8#http://112.99.193.34:9901/tsfile/live/1022_1.m3u8?key=txiptv&amp;playlive=1&amp;authid=0
﻿CCTV1,http://218.24.193.146:808/hls/1/index.m3u8
CCTV-7,http://221.0.78.198:1681/hls/10207/index.m3u8#http://219.147.200.9:18080/newlive/live/hls/7/live.m3u8#http://221.12.3.18:8980/live/cctv7/index.m3u8#http://59.44.102.18:8888/newlive/live/hls/9/live.m3u8#http://111.61.236.247:9081/hls/7/index.m3u8#http://183.207.249.71/gitv/live1/G_CCTV-7-HQ/G_CCTV-7-HQ#http://219.144.235.108:8090/hls/7/index.m3u8#http://112.46.85.60:8009/hls/504/index.m3u8#http://220.164.192.48:50085/tsfile/live/0008_1.m3u8?key=txiptv&amp;playlive=0&amp;authid=0#http://120.192.226.35:8009/hls/504/index.m3u8#http://dassby.qqff.top:99/live/CCTV7高清/index.m3u8#http://36.32.174.67:60080/newlive/live/hls/8/live.m3u8#http://220.164.192.48:50085/tsfile/live/0008_1.m3u8#http://zjrtv.vip/live/?cqyx=cctv7HD#http://1.24.190.98:10089/hls/7/index.m3u8#http://frp-fly.top:27209/proxy/220822188/220822188.m3u8#http://58.210.168.86:10800/newlive/live/hls/7/live.m3u8#http://113.140.86.162:8009/hls/504/index.m3u8#http://120.197.112.28:8800/hls/8/index.m3u8#http://121.24.98.196:8090/hls/15/index.m3u8
CCTV-10,http://221.0.78.198:1681/hls/10210/index.m3u8#http://39.164.160.249:9901/tsfile/live/0010_1.m3u8#http://59.44.102.18:8888/newlive/live/hls/12/live.m3u8#http://221.12.3.18:8980/live/cctv10/index.m3u8#http://219.147.200.9:18080/newlive/live/hls/10/live.m3u8#http://36.32.174.67:60080/newlive/live/hls/13/live.m3u8#http://121.24.99.16:8090/hls/18/index.m3u8#http://121.24.99.168:8090/hls/18/index.m3u8#http://219.144.235.108:8090/hls/10/index.m3u8#http://112.46.85.60:8009/hls/506/index.m3u8#http://220.164.192.48:50085/tsfile/live/0011_1.m3u8?key=txiptv&amp;playlive=0&amp;authid=0#http://58.51.111.46:1111/tsfile/live/1010_1.m3u8?key=txiptv&amp;playlive=1&amp;authid=0#http://120.192.226.35:8009/hls/506/index.m3u8#http://dassby.qqff.top:99/live/CCTV10高清/index.m3u8#http://220.164.192.48:50085/tsfile/live/0011_1.m3u8#http://58.210.168.86:10800/newlive/live/hls/9/live.m3u8#http://zjrtv.vip/live/?cqyx=cctv10HD#http://mqlive.leosam.top/mqlive/122.6.170.208_80/live1017.m3u8?account=53903988890#http://120.197.112.28:8800/hls/11/index.m3u8#http://mqlive.leosam.top/mqlive/www.sdhlxk.net:9901/live1017.m3u8?account=53903913170#http://113.140.86.162:8009/hls/506/index.m3u8#http://121.24.98.196:8090/hls/18/index.m3u8
CCTV-9,http://221.0.78.198:1681/hls/10209/index.m3u8#http://39.164.160.249:9901/tsfile/live/0009_1.m3u8#http://59.44.102.18:8888/newlive/live/hls/11/live.m3u8#http://221.12.3.18:8980/live/cctv9/index.m3u8#http://123.182.60.29:9002/hls/51/index.m3u8#http://121.24.99.168:8090/hls/17/index.m3u8#http://36.32.174.67:60080/newlive/live/hls/12/live.m3u8#http://219.144.235.108:8090/hls/9/index.m3u8#https://ldocctvwbcdbd.a.bdydns.com/ldocctvwbcd/cdrmldcctv9_1/index.m3u8?b#http://112.46.85.60:8009/hls/509/index.m3u8#http://61.157.139.15:9901/tsfile/live/2379_1.m3u8?key=txiptv&amp;playlive=1&amp;authid=0#http://220.164.192.48:50085/tsfile/live/0010_1.m3u8?key=txiptv&amp;playlive=0&amp;authid=0#http://dassby.qqff.top:99/live/CCTV9高清/index.m3u8#http://120.192.226.35:8009/hls/509/index.m3u8#http://121.24.99.16:8090/hls/17/index.m3u8#http://220.164.192.48:50085/tsfile/live/0010_1.m3u8#http://zjrtv.vip/live/?cqyx=cctv9HD#http://113.140.86.162:8009/hls/509/index.m3u8#http://121.24.99.131:8090/hls/17/index.m3u8#http://mqlive.leosam.top/mqlive/122.6.170.208_80/live1016.m3u8?account=53903988890
CCTV-15,http://221.0.78.198:1681/hls/10215/index.m3u8#http://120.224.7.90:6721/hls/207/index.m3u8#http://ldcctvcpudtxy.liveplay.myqcloud.com/ldcctvcpud/udrmldcctv16_1_ud.m3u8#http://219.147.200.9:18080/newlive/live/hls/15/live.m3u8#http://219.144.235.108:8090/hls/15/index.m3u8#http://121.24.99.16:8090/hls/23/index.m3u8#http://60.223.224.176:8888/newlive/live/hls/17/live.m3u8#http://112.46.85.60:8009/hls/15/index.m3u8#http://220.164.192.48:50085/tsfile/live/0016_1.m3u8?key=txiptv&amp;playlive=0&amp;authid=0#http://221.12.3.18:8980/live/cctv15/index.m3u8#http://218.241.192.50:8808/rtp/239.3.1.153:8136#http://dassby.qqff.top:99/live/CCTV15/index.m3u8#http://59.44.102.18:8888/newlive/live/hls/17/live.m3u8#http://36.32.174.67:60080/newlive/live/hls/18/live.m3u8#http://39.164.160.249:9901/tsfile/live/0015_1.m3u8#http://zjrtv.vip/live/?cqyx=cctv15HD#http://1.24.190.98:10089/hls/15/index.m3u8#http://58.210.168.86:10800/newlive/live/hls/14/live.m3u8#http://123.120.110.154:8686/rtp/239.3.1.153:8136#http://120.197.112.28:8800/hls/16/index.m3u8#https://ldcctvcpudtxy.liveplay.myqcloud.com/ldcctvcpud/udrmldcctv16_1_ud.m3u8#http://121.24.98.196:8090/hls/23/index.m3u8#http://106.115.26.99:9999/tsfile/live/faacts/0015_1.m3u8?key=txiptv&amp;playlive=1&amp;down=1#http://www.91dos.cn:4022/rtp/239.61.2.25:8144#http://frp-fly.top:27209/proxy/518544399/518544399.m3u8#http://220.164.192.48:50085/tsfile/live/0016_1.m3u8
CCTV-6,http://ak6668768.zicp.io:8805/live1006.m3u8#http://dassby.qqff.top:99/live/CCTV6高清/index.m3u8#http://59.44.102.18:8888/newlive/live/hls/8/live.m3u8#http://222.71.95.178:9901/tsfile/live/0001_6.m3u8?key=txiptv&amp;playlive=1&amp;authid=0#http://219.147.200.9:18080/newlive/live/hls/6/live.m3u8#http://221.12.3.18:8980/live/cctv6/index.m3u8#http://36.32.174.67:60080/newlive/live/hls/6/live.m3u8#http://121.24.99.16:8090/hls/14/index.m3u8#http://121.24.99.168:8090/hls/14/index.m3u8#http://iptvcyp.top:9901/tsfile/live/faacts/1005_1.m3u8?key=txiptv&amp;playlive=1&amp;authid=0#http://183.207.249.71/gitv/live1/G_CCTV-6-HQ/G_CCTV-6-HQ#http://223.151.49.74:59901/tsfile/live/0006_1.m3u8?key=txiptv&amp;playlive=1&amp;authid=0#http://220.164.192.48:50085/tsfile/live/0007_1.m3u8?key=txiptv&amp;playlive=0&amp;authid=0#http://zjrtv.vip/live/?cqyx=cctv6HD#http://frp-fly.top:27209/proxy/1275265590/1275265590.m3u8#http://120.197.112.28:8800/hls/7/index.m3u8#http://121.24.98.196:8090/hls/14/index.m3u8
CCTV-8,http://ak6668768.zicp.io:8807/live1008.m3u8#http://120.224.7.90:6721/hls/204/index.m3u8#http://221.0.78.198:1681/hls/10208/index.m3u8#http://dassby.qqff.top:99/live/CCTV8高清/index.m3u8#http://59.44.102.18:8888/newlive/live/hls/10/live.m3u8#http://36.32.174.67:60080/newlive/live/hls/11/live.m3u8#http://iptvcyp.top:9901/tsfile/live/faacts/1007_1.m3u8?key=txiptv&amp;playlive=1&amp;authid=0#http://221.12.3.18:8980/live/cctv8/index.m3u8#http://121.24.99.168:8090/hls/16/index.m3u8#http://219.147.200.9:18080/newlive/live/hls/8/live.m3u8#https://ldocctvwbcdtxy.liveplay.myqcloud.com/ldocctvwbcd/cdrmldcctv8_1/index.m3u8?#http://220.164.192.48:50085/tsfile/live/0009_1.m3u8?key=txiptv&amp;playlive=0&amp;authid=0#http://121.24.99.16:8090/hls/16/index.m3u8#http://220.164.192.48:50085/tsfile/live/0009_1.m3u8#http://110.52.99.109:9901/tsfile/live/faacts/1007_1.m3u8#http://zjrtv.vip/live/?cqyx=cctv8HD#http://mqlive.leosam.top/mqlive/122.6.170.208_80/live1015.m3u8?account=53903988890#http://mqlive.leosam.top/mqlive/www.sdhlxk.net:9901/live1015.m3u8?account=53903913170#http://120.197.112.28:8800/hls/9/index.m3u8
CCTV-4 中文国际,https://ldocctvwbcdbd.a.bdydns.com/ldocctvwbcd/cdrmldcctv4_1/index.m3u8?b=200-2100
CCTV-2,http://zw9999.cnstream.top:80/play/ubI0Nrlni6TwusjXuSxNxNEPqrelFraDEoSoHLBBldo/ts#http://221.0.78.198:1681/hls/10202/index.m3u8#http://219.159.147.195:9901/tsfile/live/1019_1.m3u8?key=txiptv&amp;playlive=1&amp;authid=0#http://219.159.147.195:9901/tsfile/live/1019_1.m3u8?key=txiptv#http://36.32.174.67:60080/newlive/live/hls/2/live.m3u8#http://121.24.99.168:8090/hls/10/index.m3u8#http://221.12.3.18:8980/live/cctv2/index.m3u8#http://219.147.200.9:18080/newlive/live/hls/2/live.m3u8#http://121.24.99.16:8090/hls/10/index.m3u8#http://219.144.235.108:8090/hls/2/index.m3u8#https://ldocctvwbcdbd.a.bdydns.com/ldocctvwbcd/cdrmldcctv2_1/index.m3u8?#http://220.164.192.48:50085/tsfile/live/0003_1.m3u8?key=txiptv&amp;playlive=0&amp;authid=0#http://59.44.102.18:8888/newlive/live/hls/3/live.m3u8#http://120.192.226.35:8009/hls/502/index.m3u8#http://dassby.qqff.top:99/live/cctv2高清/index.m3u8#http://58.210.168.86:10800/newlive/live/hls/2/live.m3u8#http://zjrtv.vip/live/?cqyx=cctv2HD#http://1.24.190.98:10089/hls/2/index.m3u8#http://pan.inote.live:7000/rtp/239.112.205.2:5140#http://106.115.26.99:9999/tsfile/live/faacts/1001_1.m3u8?key=txiptv&amp;playlive=1&amp;down=1#http://113.140.86.162:8009/hls/502/index.m3u8#http://120.197.112.28:8800/hls/2/index.m3u8#http://121.24.98.196:8090/hls/10/index.m3u8#http://219.159.147.195:9901/tsfile/live/1019_1.m3u8?key=txiptv&amp;amp;playlive=1&amp;amp;authid=0#http://221.7.175.127:9901/tsfile/live/1007_1.m3u8?key=txiptv
CCTV1 综合,http://zw9999.cnstream.top:80/play/ubI0Nrlni6TwusjXuSxNxKmfj7o-Ch7YrHyxQ4jxs2s/ts#http://58.210.168.86:10800/newlive/live/hls/1/live.m3u8
CCTV-5+,https://ldcctvwbcdbd.a.bdydns.com/ldcctvwbcd/cdrmldcctv5plus_1/index.m3u8?BR=td
cctv5+,https://ldcctvwbcdtxy.liveplay.myqcloud.com/ldcctvwbcd/cdrmldcctv5plus_1_td.m3u8#https://ldcctvwbcdtxy.liveplay.myqcloud.com/ldcctvwbcd/cdrmldcctv5plus_1/index.m3u8?b=200-2100
CCTV12,http://221.0.78.198:1681/hls/10212/index.m3u8#http://123.129.70.178:9901/tsfile/live/0012_1.m3u8?key=txiptv&amp;playlive=1&amp;authid=0$LR•IPV4『线路241』#http://220.164.192.48:50085/tsfile/live/0013_1.m3u8?key=txiptv&amp;playlive=0&amp;authid=0$LR•IPV4『线路383』#http://39.164.202.90:8899/tsfile/live/0012_1.m3u8?key=txiptv&amp;playlive=1&amp;authid=0$LR•IPV4『线路519』#http://61.136.67.238:50085/tsfile/live/0012_1.m3u8?key=txiptv&amp;playlive=1&amp;authid=0$LR•IPV4『线路565』#http://202.100.46.58:9901/tsfile/live/1011_1.m3u8?key=txiptv&amp;playlive=1&amp;authid=0$LR•IPV4『线路704』#http://202.100.46.58:9901/tsfile/live/1011_1.m3u8?key=txiptv&amp;playlive=1&amp;authid=0$LR•IPV4『线路931』#http://220.164.192.48:50085/tsfile/live/0013_1.m3u8?key=txiptv&amp;playlive=0&amp;authid=0$LR•IPV4『线路1086』#http://220.164.192.48:50085/tsfile/live/0013_1.m3u8?key=txiptv&amp;playlive=0&amp;authid=0$LR•IPV4『线路1069』#http://220.164.192.48:50085/tsfile/live/0013_1.m3u8?key=txiptv&amp;playlive=0&amp;authid=0$LR•IPV4『线路1145』#http://222.241.154.37:9901/tsfile/live/23012_1.m3u8?key=txiptv&amp;playlive=1&amp;authid=0$LR•IPV4『线路194』#http://219.159.147.195:9901/tsfile/live/1014_1.m3u8?key=txiptv&amp;playlive=1&amp;authid=0$LR•IPV4『线路282』#http://s.cdhongyuan.cn:4022/udp/239.93.1.30:8124$LR•IPV4『线路462』#http://219.159.147.195:9901/tsfile/live/1014_1.m3u8?key=txiptv$LR•IPV4『线路584』#http://219.159.147.195:9901/tsfile/live/1014_1.m3u8?key=txiptv&amp;playlive=1&amp;authid=0$LR•IPV4『线路791』#http://218.241.192.50:8808/rtp/239.3.1.64:8124$LR•IPV4『线路951』#http://219.159.147.195:9901/tsfile/live/1014_1.m3u8?key=txiptv$LR•IPV4『线路979』#http://219.159.147.195:9901/tsfile/live/1014_1.m3u8?key=txiptv$LR•IPV4『线路1165』#http://117.161.12.116/live/program/live/cctv12hd8m/8000000/mnf.m3u8#http://110.53.52.63:8888/newlive/live/hls/14/live.m3u8#http://121.24.99.131:8090/hls/20/index.m3u8#http://171.8.247.168:808/hls/12/index.m3u8#http://117.161.12.124/live/program/live/cctv12hd8m/8000000/mnf.m3u8#http://183.30.199.212:8886/udp/239.77.1.170:5146$LR•IPV4『线路1070』9#http://59.62.8.250:9901/tsfile/live/0012_1.m3u8?key=txiptv&amp;playlive=0&amp;authid=0$LR•IPV4『线路954』#http://home.yulei.online:9999/rtp/226.0.2.164:9224$LR•IPV4『线路609』#http://58.57.21.166:9901/tsfile/live/0012_1.m3u8?key=txiptv$LR•IPV4『线路498』#http://58.19.38.162:9901/tsfile/live/1011_1.m3u8?key=tvbox6_com&amp;playlive=1&amp;authid=0$LR•IPV4『线路268』#http://27.10.211.143:8004/udp/225.0.4.129:7980#http://183.185.218.119:9999/tsfile/live/0012_1.m3u8?key=txiptv&amp;playlive=1&amp;authid=0#http://114.253.165.121:10000/rtp/239.3.1.64:8124#http://42.48.17.204:808/hls/13/index.m3u8#http://1.24.190.98:10080/hls/12/index.m3u8#http://111.196.132.45:20000/rtp/239.3.1.64:8124#http://124.128.73.58:9901/tsfile/live/0012_1.m3u8?key=txiptv&amp;playlive=1&amp;authid=0$LR•IPV4『线路345』#http://219.159.147.195:9901/tsfile/live/1014_1.m3u8?key=txiptv&amp;playlive=1&amp;authid=0$LR•IPV4『线路851』#http://58.51.111.46:1111/tsfile/live/1012_1.m3u8?key=txiptv&amp;playlive=1&amp;authid=0$LR•IPV4『线路982』#http://219.159.147.195:9901/tsfile/live/1014_1.m3u8?key=txiptv$LR•IPV4『线路1097』#http://39.164.202.90:8899/tsfile/live/0012_1.m3u8?key=txiptv&amp;playlive=1&amp;authid=0$LR•IPV4『线路1058』#http://219.159.147.195:9901/tsfile/live/1014_1.m3u8?key=txiptv&amp;playlive=1&amp;authid=0$LR•IPV4『线路1160』
CCTV-13新闻,http://221.0.78.198:1681/hls/10213/index.m3u8#http://hls.hsrtv.cn/live/hsyouxian.m3u8#http://221.213.69.82:9901/tsfile/live/0013_1.m3u8?key=txiptv&amp;playlive=0&amp;authid=0#http://60.223.224.176:8888/newlive/live/hls/15/live.m3u8#http://112.123.206.32:808/hls/13/index.m3u8#http://123.182.60.29:9002/hls/13/index.m3u8#http://bxny.667789.cn:88/hls/13/index.m3u8?url=tvzb.com#https://event.pull.hebtv.com/jishi/cp1.m3u8#http://fjnhdb.chinashadt.com:2036/live/stream:fjds.stream/playlist.m3u8#http://58.57.21.166:9901/tsfile/live/0013_1.m3u8#http://58.57.21.166:9901/tsfile/live/0013_1.m3u8?key=txiptv&amp;playlive=1&amp;authid=0#http://218.76.32.193:9901/tsfile/live/0013_1.m3u8?key=txiptv&amp;playlive=1&amp;authid=0#http://219.159.147.195:9901/tsfile/live/1015_1.m3u8?key=txiptv&amp;playlive=1&amp;authid=0$LR•IPV4『线路127』#http://wan.wlzsyw.cn:885/hls/13/index.m3u8#http://60.12.183.46:9901/tsfile/live/0013_1.m3u8?key=txiptv&amp;playlive=0&amp;authid=0#http://bxny.667789.cn:88/hls/13/index.m3u8#https://stream.freetv.fun/ipv6-cctv13-28.m3u8#http://220.164.192.48:50085/tsfile/live/0014_1.m3u8?key=txiptv&amp;playlive=0&amp;authid=0$34云电576#http://123.138.216.44:9902/tsfile/live/0013_1.m3u8?key=txiptv#http://home.oxtv.top:5066/udp/239.21.2.3:5002#http://115.231.206.106:10800/newlive/live/hls/13/live.m3u8#http://gmxw.7766.org:808/hls/31/index.m3u8?url=tvzb.com#http://218.3.138.25:1111/tsfile/live/1012_1.m3u8?key=txiptv&amp;playlive=1&amp;authid=0$LR•IPV4『线路54』#http://218.3.138.25:1111/tsfile/live/1012_1.m3u8?key=txiptv&amp;playlive=1&amp;authid=0
CCTV2财经,https://ldocctvwbcdtxy.liveplay.myqcloud.com/ldocctvwbcd/cdrmldcctv2_1_td.m3u8#http://58.41.27.144:18888/udp/239.45.1.109:5140#http://219.159.147.195:9901/tsfile/live/1019_1.m3u8#http://61.162.52.6:8088/newlive/live/hls/2/live.m3u8#http://origin.lean.org.cn:4000/udp/239.45.1.109:5140#http://101.83.74.36:8686/udp/239.45.1.109:5140#http://58.41.27.144:18888/rtp/239.45.1.109:5140#http://60.12.183.46:9901/tsfile/live/0002_1.m3u8#http://115.231.206.106:10800/newlive/live/hls/1/live.m3u8#http://121.24.98.34:8090/hls/10/index.m3u8#http://www.8700956.top:18888/rtp/239.81.1.003:4056$广西电信#http://14.29.76.30:9901/tsfile/live/1008_1.m3u8?key=txiptv
CCTV4国际,https://ldocctvwbcdtxy.liveplay.myqcloud.com/ldocctvwbcd/cdrmldcctv4_1_td.m3u8
CCTV5体育,https://ldcctvwbcdtxy.liveplay.myqcloud.com/ldcctvwbcd/cdrmldcctv5_1_td.m3u8
CCTV9纪录,https://ldocctvwbcdtxy.liveplay.myqcloud.com/ldocctvwbcd/cdrmldcctv9_1_td.m3u8#http://61.162.52.6:8088/newlive/live/hls/10/live.m3u8#http://121.24.98.34:8090/hls/17/index.m3u8
CCTV10科教,https://ldocctvwbcdtxy.liveplay.myqcloud.com/ldocctvwbcd/cdrmldcctv10_1_td.m3u8#http://www.8700956.top:18888/rtp/239.81.1.011:4056$广西钦州电信#http://www.8700956.top:18888/rtp/239.81.1.011:4056$广西电信
CCTV7国防军事,https://ldocctvwbcdtxy.liveplay.myqcloud.com/ldocctvwbcd/cdrmldcctv7_1_td.m3u8#http://61.162.52.6:8088/newlive/live/hls/8/live.m3u8#http://www.8700956.top:18888/rtp/239.81.1.008:4056$广西电信#http://115.231.206.106:10800/newlive/live/hls/7/live.m3u8
CCTV16奥林匹克,https://ldcctvwbcdtxy.liveplay.myqcloud.com/ldcctvwbcd/cdrmldcctv16_1_td.m3u8
CCTV14少儿,https://ldocctvwbcdtxy.liveplay.myqcloud.com/ldocctvwbcd/cdrmldcctv14_1_td.m3u8#http://124.128.73.58:9901/tsfile/live/0014_1.m3u8#http://61.162.52.6:8088/newlive/live/hls/15/live.m3u8
CCTV11戏曲,https://ldocctvwbcdtxy.liveplay.myqcloud.com/ldocctvwbcd/cdrmldcctv11_1_td.m3u8#http://pve.grayidea.com:4022/rtp/239.3.1.152:8120
CCTV12社会与法,https://ldocctvwbcdtxy.liveplay.myqcloud.com/ldocctvwbcd/cdrmldcctv12_1_td.m3u8#http://61.162.52.6:8088/newlive/live/hls/13/live.m3u8#https://ldocctvwbcdtxy.liveplay.myqcloud.com/ldocctvwbcd/cdrmldcctv12_1/index.m3u8?b=200-2100#http://60.12.183.46:9901/tsfile/live/0012_1.m3u8#http://www.8700956.top:18888/rtp/239.81.1.013:4056$广西钦州电信#http://www.8700956.top:18888/rtp/239.81.1.013:4056$广西电信
CCTV15音乐,https://ldocctvwbcdtxy.liveplay.myqcloud.com/ldocctvwbcd/cdrmldcctv15_1_td.m3u8#http://101.83.74.36:8686/udp/239.45.1.200:5140#http://www.8700956.top:18888/rtp/239.81.1.016:4056$广西电信
